age,income,credit_score,employment_years,debt,credit_limit,previous_defaults,utilization,payment_history,default
25,92454.9,705.0,11,15961.51,60701.78,0,0.3049,89.78,1
58,59444.62,611.0,22,34575.35,54290.77,0,0.2758,88.69,1
53,72996.0,792.0,23,38119.14,40888.16,0,0.154,72.11,0
42,18000.0,747.0,32,26608.18,19172.87,0,0.4416,86.41,0
42,39560.35,697.0,27,3715.88,51956.06,0,0.4376,100.0,1
63,58536.86,519.0,8,23887.28,11030.23,0,0.1591,85.02,1
25,41413.07,621.0,7,28210.33,60614.0,1,0.3096,92.82,1
55,80716.72,738.0,31,26708.5,38200.08,1,0.431,90.32,1
30,108940.52,775.0,17,27419.45,3000.0,0,0.2582,85.68,0
25,39114.48,768.0,3,22359.16,29551.9,1,0.5782,84.24,1
46,46575.81,579.0,28,17131.05,45463.17,0,0.6064,88.57,1
68,70179.86,711.0,22,10699.59,31207.62,0,0.38,91.16,0
57,100444.56,761.0,0,500.0,46440.09,0,0.4536,65.77,0
58,38107.77,574.0,27,22075.7,21399.61,0,0.3805,84.97,1
56,70478.79,689.0,21,20232.63,14104.28,0,0.2895,79.79,0
59,105068.57,709.0,21,24690.91,33856.87,0,0.1443,77.3,0
46,28661.3,669.0,30,1949.48,35505.05,0,0.101,97.55,0
27,36816.48,560.0,17,25740.2,29425.85,0,0.6575,73.2,1
62,55680.65,667.0,16,42654.54,54636.66,0,0.3202,65.26,1
43,53547.05,667.0,21,18941.4,21396.68,0,0.7917,91.55,0
45,82877.23,680.0,6,17260.02,40010.65,0,0.3127,64.96,1
39,70316.51,651.0,5,21708.03,36087.52,0,0.2059,58.86,1
29,25950.83,659.0,29,42388.04,10092.54,1,0.4185,92.9,1
66,76339.03,687.0,7,5716.23,13895.52,0,0.2026,83.9,0
59,52294.14,721.0,17,20438.48,35190.58,0,0.6633,87.67,0
52,93037.84,669.0,9,8404.11,66699.2,1,0.4681,76.69,0
40,51193.07,661.0,8,11435.94,44268.32,0,0.1473,65.39,0
61,50994.46,696.0,20,17404.92,7389.84,0,0.1371,67.77,0
47,76904.9,556.0,28,34167.88,3000.0,0,0.3167,78.73,1
42,81784.38,723.0,15,39611.89,46728.86,0,0.3383,66.73,1
43,74858.19,690.0,4,23377.71,33460.58,0,0.1545,85.68,0
32,27916.86,693.0,8,13480.86,53260.26,0,0.8773,76.45,1
25,76836.76,757.0,5,47912.87,20908.51,0,0.1522,84.22,0
48,42245.22,553.0,30,12869.35,40603.4,0,0.3719,83.86,1
64,70176.07,552.0,11,11146.37,48538.78,1,0.332,86.64,1
24,33677.84,709.0,13,500.0,27840.58,1,0.1588,87.99,0
63,74819.09,690.0,2,34753.1,28182.63,1,0.119,77.87,0
61,47254.82,702.0,15,29618.95,35404.21,0,0.6961,84.21,0
34,36782.04,658.0,31,47013.67,43682.82,0,0.255,84.83,1
51,80704.04,737.0,14,1325.72,34770.66,0,0.2189,52.85,0
29,70316.18,755.0,22,35498.05,50583.94,0,0.2567,89.76,0
58,51492.51,724.0,6,18841.63,27609.04,0,0.6263,83.8,0
55,96925.93,672.0,5,27673.2,13745.68,0,0.2414,88.77,1
38,55305.65,542.0,25,500.0,66631.61,0,0.4064,66.56,1
24,65706.37,744.0,2,35616.98,25325.86,1,0.5566,78.21,1
68,70916.1,776.0,15,27438.2,25904.93,0,0.4197,68.9,0
42,51367.35,735.0,11,17533.08,33947.15,0,0.322,90.94,1
64,75365.0,628.0,0,25741.35,36074.9,0,0.6856,65.14,1
54,53264.05,737.0,18,8814.06,28813.06,1,0.1224,70.86,0
59,55943.96,750.0,33,11046.72,34721.06,0,0.8036,88.41,0
58,94978.14,799.0,2,12438.66,34363.8,0,0.4614,74.45,0
30,42107.11,629.0,28,500.0,37797.11,0,0.2317,70.86,0
38,18000.0,674.0,18,28341.1,3000.0,0,0.3777,92.88,1
43,100440.61,742.0,25,32299.12,65094.02,1,0.265,93.37,0
45,121085.21,694.0,3,9583.87,32643.39,0,0.4439,90.66,0
23,56084.08,612.0,30,22178.44,44289.96,0,0.2919,92.18,0
47,22389.56,719.0,0,14813.51,12950.38,0,0.1859,79.22,0
28,58169.35,731.0,31,21939.29,27464.0,1,0.4532,79.54,1
57,58703.1,696.0,23,10469.07,24242.95,0,0.7878,74.22,1
54,60821.68,705.0,11,7398.9,58515.58,0,0.193,84.01,0
66,40505.46,672.0,0,30624.9,25626.98,0,0.66,75.67,1
57,77750.35,793.0,21,17233.55,47129.28,0,0.4875,76.8,0
38,76539.16,627.0,3,42265.31,24593.27,0,0.7507,89.2,1
68,32123.08,649.0,21,18555.72,27758.1,1,0.1857,96.21,0
41,80382.33,691.0,27,6887.06,31071.2,0,0.413,86.78,1
36,110159.07,752.0,9,32723.29,55541.52,1,0.6373,100.0,0
65,68783.13,585.0,8,25569.6,4762.36,0,0.6254,73.53,1
39,57578.85,598.0,7,26722.47,13949.38,0,0.5424,59.94,1
24,61875.93,547.0,7,32287.21,3843.12,0,0.3745,90.58,1
44,78535.65,692.0,3,10166.44,17599.97,1,0.7808,72.74,1
59,26925.22,612.0,8,16472.96,22014.4,0,0.4959,78.72,1
30,68616.6,663.0,23,15942.6,9168.3,0,0.6322,60.76,1
43,56409.79,736.0,10,2511.04,23253.64,0,0.6982,71.21,0
27,105652.15,645.0,27,14836.92,3000.0,0,0.4915,63.97,0
54,61168.2,706.0,28,34036.55,18712.18,1,0.6526,76.79,1
44,101693.53,669.0,26,20848.06,54206.73,0,0.4446,77.27,1
37,40717.7,737.0,18,1847.26,41457.41,1,0.6398,83.08,1
32,77919.7,723.0,11,500.0,37999.48,0,0.1123,96.88,0
48,72026.81,642.0,32,37977.31,18955.54,0,0.8139,90.12,1
53,45880.96,678.0,7,16916.17,10422.64,0,0.1794,62.53,1
67,68902.71,763.0,16,10231.08,16773.5,0,0.3961,89.3,0
42,91675.41,718.0,15,14712.1,34308.64,0,0.8469,83.34,0
28,57876.58,592.0,26,500.0,48890.83,0,0.276,80.83,0
61,27776.82,736.0,19,35077.14,49437.88,0,0.7371,81.73,1
51,64613.62,614.0,27,13283.36,45089.8,0,0.3537,84.45,1
55,45146.69,789.0,32,34408.82,23199.09,1,0.277,73.7,1
25,57468.5,762.0,13,18619.82,35392.8,1,0.4658,79.81,0
36,63205.07,710.0,30,35154.38,29858.52,0,0.4557,96.21,0
58,27475.65,701.0,5,21080.33,31780.96,0,0.4188,73.55,0
61,29455.52,675.0,32,28238.79,67594.05,0,0.841,69.64,0
42,75605.47,737.0,6,26629.12,6808.0,0,0.1244,81.26,0
60,53500.19,664.0,29,25479.49,31245.17,0,0.4158,68.43,0
62,18000.0,706.0,13,22175.21,54387.98,0,0.1975,61.33,1
39,82266.57,751.0,33,15205.79,11545.74,0,0.5931,77.87,0
65,70992.13,651.0,4,40985.22,24700.04,0,0.2337,99.38,0
35,49294.75,647.0,16,7116.76,26535.38,0,0.6378,81.54,1
32,36029.74,606.0,31,18051.69,31427.36,0,0.6717,84.14,1
54,83387.77,615.0,1,18178.63,9464.69,0,0.31,56.44,1
52,72685.71,562.0,9,22829.29,44524.58,0,0.5866,87.26,1
27,117417.25,741.0,2,12846.33,45660.6,0,0.3211,83.12,0
61,74244.15,817.0,11,21776.96,43134.01,0,0.1301,74.02,0
30,73529.47,790.0,13,15973.89,21074.02,0,0.1972,84.16,0
60,61327.59,576.0,21,500.0,36384.17,0,0.2401,84.04,1
21,82969.07,741.0,9,18114.63,20608.96,0,0.4629,69.29,0
60,78751.87,790.0,5,4793.22,29678.45,1,0.6975,85.98,0
