amount,hour,distance_km,frequency_24h,new_device,international,merchant_risk,fraud
85.13,22,17.97,3,0,1,0.884,1
131.39,17,16.69,4,0,0,0.302,0
37.13,0,28.39,2,1,1,0.781,1
26.88,17,1.6,3,1,0,0.275,0
9.1,3,1.62,0,1,0,0.239,0
176.2,6,15.45,1,1,1,0.272,0
67.81,18,56.56,4,1,0,0.057,0
81.92,13,12.41,1,1,1,0.632,0
30.46,4,7.9,2,0,1,0.637,1
227.35,7,2.18,2,0,1,0.637,0
171.26,18,6.44,3,1,1,0.702,0
59.04,14,6.2,1,1,1,0.589,0
38.25,17,0.2,4,0,1,0.856,0
46.68,16,8.59,6,1,1,0.741,1
30.01,3,14.05,3,0,1,0.85,0
68.48,13,24.92,3,0,0,0.081,0
36.01,16,46.51,8,1,0,0.238,1
119.77,5,11.26,2,1,1,0.588,0
46.55,17,0.37,4,0,0,0.875,0
46.81,5,7.8,0,1,0,0.919,0
310.21,7,9.56,2,0,1,0.886,0
32.27,7,12.32,4,1,0,0.227,0
13.9,16,4.02,3,1,0,0.177,0
96.18,6,19.22,2,1,1,0.622,0
8.35,1,15.64,5,0,0,0.647,0
86.87,10,2.58,0,0,1,0.977,0
177.99,5,32.87,3,1,0,0.298,0
71.53,14,23.45,3,0,0,0.244,0
67.31,14,13.04,3,1,1,0.602,0
8.58,20,7.26,1,1,1,0.917,0
116.2,15,37.14,4,0,1,0.557,1
99.12,13,49.04,6,0,0,0.488,0
20.66,14,32.51,2,1,0,0.593,0
451.77,1,21.56,3,1,0,0.488,0
19.61,1,11.76,2,0,0,0.114,0
12.44,20,8.72,3,1,0,0.114,0
10.9,21,0.74,5,1,1,0.261,0
68.44,8,4.97,2,1,0,0.921,0
93.49,23,31.78,2,1,1,0.813,0
103.65,22,6.97,4,0,0,0.125,0
47.59,20,3.55,5,1,0,0.158,0
29.59,14,22.84,5,1,0,0.259,0
154.9,22,2.2,4,1,1,0.88,0
27.18,1,15.72,4,0,1,0.849,1
19.89,8,1.77,4,0,0,0.534,0
270.78,1,8.25,2,1,1,0.572,1
79.64,0,0.19,4,1,1,0.234,1
106.84,15,1.23,3,0,1,0.996,0
124.69,6,28.0,4,0,0,0.98,0
37.65,4,4.94,5,1,1,0.552,1
39.14,10,11.94,1,0,0,0.744,0
126.54,20,62.56,3,1,1,0.459,1
35.98,15,17.47,2,1,0,0.116,0
93.32,13,11.58,2,1,0,0.376,0
60.98,6,10.0,4,0,0,0.766,0
20.2,5,28.64,1,0,0,0.254,0
175.28,0,16.35,2,1,1,0.264,0
18.37,12,20.44,3,1,1,0.739,0
84.18,16,29.64,0,0,0,0.238,0
71.31,9,27.29,2,1,1,0.407,1
236.66,20,9.06,6,0,1,0.807,0
21.77,7,15.55,1,0,0,0.477,0
38.74,20,6.86,2,0,1,0.331,0
60.32,22,53.68,3,1,1,0.375,1
79.91,16,18.45,1,1,1,0.87,1
158.93,5,1.54,3,0,1,0.946,0
91.02,23,44.46,3,0,1,0.982,0
68.36,7,2.32,9,0,1,0.922,1
186.48,23,21.74,3,1,0,0.862,0
542.43,4,0.68,6,1,1,0.719,1
17.19,16,3.33,3,1,0,0.04,0
66.3,23,0.7,2,1,1,0.843,0
142.54,9,2.59,2,1,0,0.988,0
72.66,10,7.48,6,1,0,0.348,0
279.96,18,4.31,3,0,0,0.953,0
47.74,11,48.45,2,1,1,0.888,1
24.19,12,1.1,2,1,1,0.374,0
159.26,16,30.38,2,0,1,0.768,0
4.17,21,9.29,4,0,1,0.636,0
41.44,22,2.5,1,0,1,0.459,0
710.58,7,0.44,1,0,1,0.421,0
68.46,12,4.92,2,0,0,0.889,0
95.37,5,6.33,3,0,0,0.32,0
25.75,15,3.65,1,0,1,0.759,0
65.16,0,10.49,3,1,0,0.572,0
57.85,23,2.76,3,1,1,0.404,0
427.66,5,12.73,3,1,1,0.167,0
24.29,17,3.82,3,1,1,0.463,0
4.21,3,36.66,0,0,1,0.882,0
100.15,23,22.6,5,1,1,0.074,0
314.2,16,12.64,0,0,1,0.843,0
33.49,4,24.26,5,1,1,0.077,1
10.77,20,10.96,3,1,0,0.993,1
22.81,11,20.37,4,0,0,0.981,0
